FLIGHT_MONTH,YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2025-01-01,2025,1,ALBANIA,LA,30695.79208,2269,FALSE
2025-01-01,2025,1,ARMENIA,UD,34210.13752,1573,FALSE
2025-01-01,2025,1,AUSTRIA,LO,210137.03334,12021,FALSE
2025-01-01,2025,1,BELGIUM,EB,436063.6396,11454,FALSE
2025-01-01,2025,1,BOSNIA AND HERZEGOVINA,LQ,8128.57452,818,FALSE
2025-01-01,2025,1,BULGARIA,LB,46476.42046,3064,FALSE
2025-01-01,2025,1,CANARY ISLANDS,GC,374596.89302,19725,FALSE
2025-01-01,2025,1,CROATIA,LD,21246.93836,2593,FALSE
2025-01-01,2025,1,CYPRUS,LC,50591.20092,2671,FALSE
2025-01-01,2025,1,CZECHIA,LK,82386.26922,4944,FALSE
2025-01-01,2025,1,DENMARK,EK,219022.94174,11664,TRUE
2025-01-01,2025,1,ESTONIA,EE,13997.67696,1547,FALSE
2025-01-01,2025,1,FINLAND,EF,196523.20696,8899,FALSE
2025-01-01,2025,1,FRANCE,LF,1618451.86574,62703,FALSE
2025-01-01,2025,1,GEORGIA,UG,59886.72892,2418,FALSE
2025-01-01,2025,1,GERMANY,ED,2010754.83468,65718,FALSE
2025-01-01,2025,1,GREECE,LG,149902.18972,13772,FALSE
2025-01-01,2025,1,HUNGARY,LH,130898.17104,5243,FALSE
2025-01-01,2025,1,ICELAND,BI,27732.5141,1552,FALSE
2025-01-01,2025,1,IRELAND,EI,194739.63994,10091,FALSE
2025-01-01,2025,1,ITALY,LI,1041471.32568,57685,FALSE
2025-01-01,2025,1,KOSOVO,BK,17595.5752,1213,FALSE
2025-01-01,2025,1,LATVIA,EV,28831.89238,2281,FALSE
2025-01-01,2025,1,LITHUANIA,EY,30175.03506,2274,FALSE
2025-01-01,2025,1,LUXEMBOURG,EL,145204.99168,2368,FALSE
2025-01-01,2025,1,MALTA,LM,35859.81846,2408,FALSE
2025-01-01,2025,1,"MOLDOVA, REPUBLIC OF",LU,21615.84646,1307,FALSE
