Celular,70,Enero,Colombia,14
Celular,80,Febrero,Panama,?
Celular,150,Marzo,Mexico,30
Celular,300,Agosto,Colombia,60
Celular,500,Noviembre,Costa,100
Celular,900,Diciembre,Panama,180
Celular,70,Enero,Chile,14
Celular,80,Febrero,?,16
Celular,150,Marzo,Panama,30
Celular,300,Agosto,Mexico,60
Celular,500,Noviembre,Colombia,?
Celular,900,Diciembre,Chile,180
Celular,300,Agosto,Panama,60
Celular,500,Noviembre,Mexico,100
Celular,900,Diciembre,?,180
Celular,70,Enero,Chile,14
Celular,101,Septiembre,Brasil,20.2
Celular,150,Octubre,Brasil,30
Celular,400,Diciembre,Panama,80
Celular,750,Noviembre,Paraguay,150
Celular,100,Enero,Paraguay,20
Celular,120,Agosto,Brasil,24
Celular,500,Abril,Mexico,100
Celular,70,Enero,Colombia,14
Celular,80,Febrero,Panama,16
Celular,150,Marzo,Mexico,30
Celular,300,Agosto,Colombia,?
Celular,500,Noviembre,Costa,100
Celular,900,Diciembre,Panama,180
Celular,70,Enero,Chile,14
Celular,80,Febrero,Costa,16
Celular,150,Marzo,?,30
Celular,300,?,Mexico,?
Celular,500,?,Colombia,100
Celular,900,Diciembre,Chile,180
Celular,300,Agosto,Panama,60
Celular,500,Noviembre,Mexico,100
Celular,900,Diciembre,Panama,180
Celular,70,?,Chile,14
Celular,101,Septiembre,?,20.2
Celular,150,Octubre,Brasil,?
Celular,400,Diciembre,Panama,80
Celular,750,Noviembre,Paraguay,150
Celular,100,Enero,Paraguay,20
Celular,120,Agosto,?,24
Celular,500,Abril,Mexico,100
Celular,80,Febrero,Costa,16
Celular,150,Marzo,Panama,30
Celular,300,Agosto,Mexico,60
Celular,500,Noviembre,Colombia,100
Celular,900,Diciembre,Chile,180
Celular,300,?,Panama,60
Celular,500,Noviembre,Mexico,100
Celular,900,?,Panama,180
Celular,70,Enero,Chile,14
Celular,101,Septiembre,Brasil,20.2
Celular,150,Octubre,Brasil,30
Celular,400,?,Panama,80
Celular,750,Noviembre,Paraguay,150
Celular,100,Enero,Paraguay,20
Celular,120,Agosto,Brasil,24
Celular,500,Abril,Mexico,100
Celular,70,Enero,Colombia,14
Celular,80,Febrero,Panama,16
Celular,70,Enero,Colombia,14
Celular,80,Febrero,Panama,16
Celular,150,?,Mexico,30
Celular,300,Agosto,Colombia,60
Celular,500,Noviembre,Costa,100
Celular,900,Diciembre,?,180
Celular,70,?,Chile,14
Celular,80,?,Costa,16
Celular,150,Marzo,Panama,30
Celular,300,Agosto,Mexico,60
Celular,500,Noviembre,Colombia,100
Celular,900,?,Chile,180
Celular,300,Agosto,Panama,60
Celular,500,Noviembre,Mexico,100
Celular,900,Diciembre,?,180
Celular,70,Enero,Chile,14
Celular,101,Septiembre,Brasil,20.2
Celular,150,Octubre,Brasil,30
Celular,70,?,Colombia,14
Celular,80,?,?,?
Celular,150,Marzo,Mexico,30
Celular,300,Agosto,Colombia,?
Celular,500,Noviembre,Costa,100
Celular,900,Diciembre,Panama,180
Celular,70,Enero,Chile,14
Celular,80,?,Costa,16
Celular,150,Marzo,?,30
Celular,300,Agosto,Mexico,60
Celular,500,Noviembre,Colombia,100
Celular,900,Diciembre,Chile,180
Celular,300,Agosto,Panama,?
Celular,500,Noviembre,Mexico,100
Celular,900,Diciembre,?,?
Celular,70,Enero,Chile,14
Celular,101,Septiembre,Brasil,20.2
Celular,150,Octubre,Brasil,30
Celular,400,?,Panama,80
Celular,750,Noviembre,Paraguay,150
Celular,100,?,Paraguay,20
Celular,120,Agosto,Brasil,24
Celular,500,?,Mexico,100
Celular,70,Enero,Colombia,14
Celular,80,Febrero,Panama,16
Celular,150,Marzo,Mexico,30
Celular,300,Agosto,Colombia,60
Celular,500,Noviembre,Costa,100
Celular,900,Diciembre,Panama,180
Celular,70,Enero,Chile,14
Celular,80,Febrero,?,16
Celular,150,?,Panama,30
Celular,300,?,Mexico,60
Celular,500,Noviembre,Colombia,100
Celular,900,Diciembre,Chile,180
Celular,300,?,Panama,60
Celular,500,Noviembre,Mexico,100
Celular,900,Diciembre,Panama,180
Celular,70,Enero,Chile,14
Celular,101,Septiembre,Brasil,20.2
Celular,150,Octubre,Brasil,30
Celular,400,Diciembre,Panama,80
Celular,750,Noviembre,Paraguay,150
Celular,100,Enero,Paraguay,20
Celular,120,Agosto,Brasil,24
Celular,500,Abril,?,100
Celular,80,Febrero,Costa,16
Celular,150,Marzo,Panama,30
Celular,300,Agosto,Mexico,60
Celular,500,Noviembre,Colombia,100
Celular,900,Diciembre,Chile,180
Celular,300,Agosto,?,60
Celular,500,Noviembre,Mexico,100
Celular,900,Diciembre,?,180
Celular,70,Enero,Chile,14
Celular,101,Septiembre,Brasil,20.2
Celular,150,?,Brasil,30
Celular,400,Diciembre,?,80
Celular,750,Noviembre,Paraguay,150
Celular,100,Enero,Paraguay,20
Celular,120,Agosto,?,24
Celular,500,Abril,Mexico,100
Celular,70,Enero,Colombia,14
Celular,80,Febrero,Panama,16
Celular,70,Enero,Colombia,14
Celular,80,Febrero,?,16
Celular,150,?,Mexico,30
Celular,300,Agosto,Colombia,60
Celular,500,Noviembre,Costa,100
Celular,900,Diciembre,?,?
Celular,70,Julio,Chile,14
Celular,80,?,Costa,16
Celular,150,Marzo,?,30
Celular,300,Agosto,Mexico,60
Celular,500,Noviembre,Colombia,100
Celular,900,Junio,?,180
Celular,300,Junio,Panama,60
Celular,500,Junio,Mexico,100
Celular,900,?,Panama,180
Celular,70,Enero,?,14
Celular,101,?,Brasil,20.2
Celular,150,Octubre,Brasil,30
